outcome.trait	exposure.trait	mr.b	mr.se	mr.pval
Sleep duration	Diagnoses - main ICD10: K80.1 Calculus of gallbladder with other cholecystitis	-0.837218821002221	0.0696034830370862	2.51984419571888e-33
Sleep duration	Reason for glasses/contact lenses: For long-sightedness  i.e. for distance and near  but particularly for near tasks like reading (called 'hypermetropia')	-0.783814282393573	0.00909936207206815	0
Sleep duration	Illness  injury  bereavement  stress in last 2 years: Financial difficulties	-0.768546371890302	0.131618047325355	5.24466444533263e-09
Sleep duration	Reason for glasses/contact lenses: For long-sightedness  i.e. for distance and near  but particularly for near tasks like reading (called 'hypermetropia')	-0.704423475464474	0.0849609042013233	1.12160126224952e-16
Sleep duration	Operative procedures - main OPCS: B28.2 Partial excision of breast NEC	-0.630147333003897	0.00694187412877774	0
Sleep duration	Treatment/medication code: nicorandil	-0.509987983353848	0.0741669042911799	6.14613698839986e-12
Sleep duration	Types of physical activity in last 4 weeks: None of the above	-0.470351718049034	0.0208040658482852	3.56318105877514e-113
Sleep duration	Operative procedures - main OPCS: P23.2 Anterior colporrhaphy NEC	-0.421216129566996	0.0110331743121894	0
Sleep duration	Vitamin and mineral supplements: Multivitamins +/- minerals	-0.407695556545854	0.0676031278277798	1.63230469679884e-09
Sleep duration	Bring up phlegm/sputum/mucus on most days	-0.405654175123734	0.0112404410817968	3.39737334095898e-285
Sleep duration	Bring up phlegm/sputum/mucus on most days	-0.405654175123734	0.0112404410817968	3.39737334095898e-285
Sleep duration	Bring up phlegm/sputum/mucus on most days	-0.400578112069855	0.0328372059757286	3.15013465745241e-34
Sleep duration	Bring up phlegm/sputum/mucus on most days	-0.400578112069855	0.0328372059757286	3.15013465745241e-34
Sleep duration	Illnesses of father: Alzheimer's disease/dementia	-0.36629420974572	0.0495064055477658	1.37290775045517e-13
Sleep duration	Operation code: pilonidal sinus surgery (anal)	-0.360023597361982	0.0336723207988136	1.10982646460869e-26
Sleep duration	Operation code: pilonidal sinus surgery (anal)	-0.360023597361982	0.0336723207988136	1.10982646460869e-26
Sleep duration	Diagnoses - main ICD10: D25.9 Leiomyoma of uterus, unspecified	-0.27432659656496	0.0238846911563694	1.56107535519423e-30
Sleep duration	1-arachidonoylglycerophosphocholine*	-0.2183859741476	0.0167065332675514	4.76659866043975e-39
Sleep duration	1-arachidonoylglycerophosphocholine*	-0.2183859741476	0.0167065332675514	4.76659866043975e-39
Sleep duration	1-arachidonoylglycerophosphocholine*	-0.169605497046701	0.0238738069977033	1.20977558834777e-12
Sleep duration	1-arachidonoylglycerophosphocholine*	-0.157655087295089	0.0189191991167253	7.87698565089282e-17
Sleep duration	Hospital episode type: General episode	-0.156619639558719	0.0250876211448516	4.29517351733355e-10
Sleep duration	Father's age at death	-0.144614265050031	0.0230812294157326	3.71752733542436e-10
Sleep duration	Father's age at death	-0.144614265050031	0.0230812294157326	3.71752733542436e-10
Sleep duration	Hospital episode type: General episode	-0.113843212226831	0.00737023836701001	7.98499450100396e-54
Sleep duration	6mm strong meridian angle (right)	-0.0784837578239879	0.0113330867070661	4.35396437670009e-12
Sleep duration	IDP dMRI ProbtrackX L1 atr l	-0.0782920151307699	0.00806801528066076	2.89906885994006e-22
Sleep duration	IDP dMRI ProbtrackX L1 atr l	-0.0782920151307699	0.00806801528066076	2.89906885994006e-22
Sleep duration	Hexadecanedioate	-0.0594299198337846	0.00591159768071736	8.90163635577684e-24
Sleep duration	IDP dMRI TBSS L1 External capsule L	-0.0574341621364184	0.00697657523026862	1.83454471351938e-16
Sleep duration	IDP dMRI TBSS L1 External capsule L	-0.0574341621364184	0.00697657523026862	1.83454471351938e-16
Sleep duration	Body mass index (BMI)	-0.0535896421387729	0.00630394374729121	3.23001454562852e-15
Sleep duration	Tetradecanedioate	-0.0468747904117158	0.00724261871569216	9.66644471016397e-11
Sleep duration	IDP dMRI TBSS L2 Cingulum hippocampus R	-0.0463932167756718	0.0075945165343387	1.00396758278248e-09
Sleep duration	IDP dMRI TBSS L2 Cingulum hippocampus R	-0.0463932167756718	0.0075945165343387	1.00396758278248e-09
Sleep duration	IDP dMRI TBSS MD Superior longitudinal fasciculus L	-0.0440091303883427	0.00741681479032982	2.96188537203976e-09
Sleep duration	IDP dMRI TBSS MD Superior longitudinal fasciculus L	-0.0440091303883427	0.00741681479032982	2.96188537203976e-09
Sleep duration	IDP dMRI TBSS L3 Sagittal stratum R	-0.0405039124186959	0.00654674446700125	6.13672366007473e-10
Sleep duration	IDP dMRI TBSS L3 Sagittal stratum R	-0.0405039124186959	0.00654674446700125	6.13672366007473e-10
Sleep duration	IDP dMRI ProbtrackX L1 ifo l	-0.0335557160755435	0.00189185523959378	2.17473226699439e-70
Sleep duration	IDP dMRI ProbtrackX L1 ifo l	-0.0329967691139033	0.00311528106446394	3.249023740346e-26
Sleep duration	IDP dMRI TBSS L2 Retrolenticular part of internal capsule R	-0.0295054855181241	0.000531688849475609	0
Sleep duration	IDP dMRI TBSS L3 Superior longitudinal fasciculus R	-0.0292474443595241	0.000601882768475752	0
Sleep duration	Tetradecanedioate	-0.0288294936857989	0.00261199054954306	2.52323707731147e-28
Sleep duration	IDP dMRI TBSS L2 Retrolenticular part of internal capsule R	-0.0284558467998764	0.00203514631004127	2.00169003399417e-44
Sleep duration	IDP dMRI TBSS MD Cingulum cingulate gyrus R	-0.0279542226924507	0.00347692849642612	8.98980429403623e-16
Sleep duration	Ratio of bisallylic groups to total fatty acids	-0.0276257068648648	0.00225449954571314	1.60725922054552e-34
Sleep duration	IDP dMRI TBSS L3 Cingulum cingulate gyrus R	-0.0274245342161863	0.00242779504984602	1.37228073590924e-29
Sleep duration	IDP dMRI TBSS MD Cingulum cingulate gyrus R	-0.0267504973820102	0.00318243140788624	4.25392593066121e-17
Sleep duration	IDP dMRI ProbtrackX MD cgc r	-0.0264401749487135	0.00330592255123682	1.26640869412352e-15
Sleep duration	IDP dMRI TBSS MD Superior longitudinal fasciculus L	-0.026390298843883	9.12677410995357e-05	0
Sleep duration	IDP dMRI TBSS MD Cingulum cingulate gyrus L	-0.0260085818655397	0.0026939890111811	4.71361000663605e-22
Sleep duration	IDP dMRI ProbtrackX MD ifo r	-0.0256687910104815	0.00157527843283749	1.07517088089903e-59
Sleep duration	IDP dMRI ProbtrackX MD ilf l	-0.0252851486862726	0.00194457264033578	1.17738772037194e-38
Sleep duration	IDP dMRI ProbtrackX MD ilf r	-0.0250723556442854	0.0031322215405857	1.19801189664498e-15
Sleep duration	IDP dMRI ProbtrackX MD cgc r	-0.0250222519242961	0.00299818772374643	7.07380508140155e-17
Sleep duration	Ratio of bisallylic groups to total fatty acids	-0.0247535262821661	0.00130559064558404	3.6766443157007e-80
Sleep duration	IDP dMRI TBSS L3 Sagittal stratum R	-0.0239801452023825	0.00380717925381286	3.00220806331824e-10
Sleep duration	IDP dMRI ProbtrackX L2 ilf r	-0.0237284748431735	0.00287161466220957	1.41922436527406e-16
Sleep duration	IDP dMRI ProbtrackX MD ifo l	-0.0232260096936794	0.00189565637085777	1.6344771380733e-34
Sleep duration	IDP dMRI ProbtrackX L2 ilf r	-0.0217765045784534	0.00344874783687312	2.71348314361429e-10
Sleep duration	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 1	-0.0208031402860031	0.00239397056037662	3.63058193454927e-18
Sleep duration	Ubiquitin-conjugating enzyme E2 G2	-0.0203227131764082	0.000887109919389323	3.78781245829727e-116
Sleep duration	Heparin-binding EGF-like growth factor	-0.0184403176757667	0.000739819674449587	3.94536365032697e-137
Sleep duration	Ubiquitin-conjugating enzyme E2 G2	-0.0183554299983681	0.000261157358448049	0
Sleep duration	Protein CEI	-0.0172318177671	0.00222087463586976	8.55860120007055e-15
Sleep duration	Glucose	-0.0171194462736291	0.00204681256576879	6.06505430756581e-17
Sleep duration	Axin-2	-0.0166188773892936	0.000170903351551019	0
Sleep duration	Paternal history of Alzheimer's disease	-0.0156157815689806	0.00255100944303972	9.27493382053894e-10
Sleep duration	Protein CEI	-0.0149362268607961	0.00242712355269249	7.56099479342631e-10
Sleep duration	Chymotrypsinogen B	-0.0146451206961867	0.000614408889619984	1.41087733376936e-125
Sleep duration	Chymotrypsinogen B	-0.0146451206961867	0.000614408889619984	1.41087733376936e-125
Sleep duration	Urate	-0.0130088619913472	0.000196966081374099	0
Sleep duration	Urate	-0.0130088619913472	0.000196966081374099	0
Sleep duration	MAGUK p55 subfamily member 6	-0.0126887518839947	0.00103870824828691	2.55669239992237e-34
Sleep duration	interleukin 18	-0.0103799689093045	0.000263858070701156	0
Sleep duration	Alcohol dehydrogenase [NADP(+)]	-0.0102537718763901	0.00137516592653464	8.89260491455729e-14
Sleep duration	MAGUK p55 subfamily member 6	-0.00986250718232986	0.0012909164023514	2.17344796018071e-14
Sleep duration	Beta-1,4-galactosyltransferase 6	-0.00866314747895822	0.000556972129757467	1.49459140337509e-54
Sleep duration	Low affinity immunoglobulin gamma Fc region receptor II-b	-0.00848352516539133	0.000425123009793637	1.34381013709539e-88
Sleep duration	N-acetyl-D-glucosamine kinase	-0.00662387884418473	0.00086312088367673	1.66278947749407e-14
Sleep duration	Brorin	-0.00626126210156372	0.000919890336415248	9.99801869575777e-12
Sleep duration	Alcohol dehydrogenase [NADP(+)]	-0.00547678805552593	0.000688213400495385	1.74871476426279e-15
Sleep duration	SPARC-like protein 1	-0.00532169888262311	0.0008556908568975	4.9974700497887e-10
Sleep duration	Calcium/calmodulin-dependent protein kinase type 1	-0.00496206012802779	0.000850721907184782	5.45166455943604e-09
Sleep duration	Chymotrypsinogen B	-0.00387976989130418	0.000509442338892042	2.62226852212983e-14
Sleep duration	Leukocyte immunoglobulin-like receptor subfamily B member 5	-0.00372847703996192	4.02009824971559e-05	0
Sleep duration	Alcohol dehydrogenase [NADP(+)]	-0.00369395893343158	0.000315098927587755	9.69717495459028e-32
Sleep duration	Low affinity immunoglobulin gamma Fc region receptor II-a	-0.00313527180682006	0.000223996300268217	1.62635510564492e-44
Sleep duration	Angiopoietin-1 receptor, soluble	-0.00266198592280028	9.07098006652011e-05	2.6735320154755e-189
Sleep duration	Leukocyte immunoglobulin-like receptor subfamily A member 6	-0.00208300307775525	0.000227119531076823	4.66933970641084e-20
Sleep duration	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2	-0.00186631506196719	0.00027713893400533	1.6480956480212e-11
